Title,Description,Updated,Language,Link
Github-Crawler,"A web crawler designed to crawl ""source"" repositories of a user and indexes the repository through Markdown and CSV file.",2021-04-24T17:11:11Z,Python,https://github.com/PrynsTag/Github-Crawler
Lazada-Crawler,A web crawler designed to keep track prices of products in Lazada and notifies the programmer if there is a price cut.,2021-04-21T19:22:42Z,Python,https://github.com/PrynsTag/Lazada-Crawler
Website-Crawler-Notifier,A web crawler designed to crawl a status of a website and notifies the programmer if an event occur through gmail.,2021-04-21T16:05:57Z,Python,https://github.com/PrynsTag/Website-Crawler-Notifier
Pandas-Exploratory,"A project to get familiar working iwth CSV, XLXS, adn SQLite DB Files using Pandas.",2021-04-19T15:10:52Z,Python,https://github.com/PrynsTag/Pandas-Exploratory
web-scrapper,A repository to learn web-scrapping using Beautiful Soup.,2021-04-16T11:30:36Z,Python,https://github.com/PrynsTag/web-scrapper
Rock-Paper-Scissor,"Basic rock, paper and scissor program to practice fundamental concepts in python.",2021-03-20T15:49:39Z,Python,https://github.com/PrynsTag/Rock-Paper-Scissor
CodeWars-Completed-Exercises,Solution on CodeWars Challenges I Completed.,2021-02-18T18:28:36Z,Python,https://github.com/PrynsTag/CodeWars-Completed-Exercises
Image-Merger,A Program to merge multiple image into a single image.,2020-12-31T17:21:07Z,Python,https://github.com/PrynsTag/Image-Merger
Makido-Bot,My Private bot,2020-11-30T08:58:14Z,Python,https://github.com/PrynsTag/Makido-Bot
PHP-Exercises,Repository for PHP exercises that I have completed.,2021-04-20T17:42:18Z,PHP,https://github.com/PrynsTag/PHP-Exercises
Resume,my personal resume <3,2021-01-22T15:44:12Z,PHP,https://github.com/PrynsTag/Resume
ColorMyViews,An Android App in Kotlin to Practice using ConstraintLayout.,2021-03-07T19:36:54Z,Kotlin,https://github.com/PrynsTag/ColorMyViews
Learn-Android-Development-with-Kotlin,A series of apps to learn Android Development with Kotlin,2021-03-06T15:47:35Z,Kotlin,https://github.com/PrynsTag/Learn-Android-Development-with-Kotlin
Dice-Roller,A simple dice roller in Android Kotlin.,2021-03-03T16:40:22Z,Kotlin,https://github.com/PrynsTag/Dice-Roller
sorting-tool,A project in kotlin to work with Collections.,2021-02-28T17:36:31Z,Kotlin,https://github.com/PrynsTag/sorting-tool
coffee-machine,Command-Line Project in Kotlin that implements OOP and basic programming conceps.,2021-02-17T19:45:11Z,Kotlin,https://github.com/PrynsTag/coffee-machine
command-line-flashcard,A program in kotlin that implements basic flashcard functionality.,2021-02-14T18:47:29Z,Kotlin,https://github.com/PrynsTag/command-line-flashcard
Parking-Lot,"Cities are becoming smarter to meet our needs, and parking spaces are an essential part of urban design. As a developer, you can help improve them. In this project, you will create a parking lot ma…",2021-02-09T21:29:02Z,Kotlin,https://github.com/PrynsTag/Parking-Lot
Machine-Learning-Journey,This is the repository for my Machine Learning Journey.,2021-02-03T15:58:29Z,Jupyter Notebook,https://github.com/PrynsTag/Machine-Learning-Journey
My-Pandas-Exercise-Solutions,No Description,2021-01-27T00:59:38Z,Jupyter Notebook,https://github.com/PrynsTag/My-Pandas-Exercise-Solutions
Kaggle-Competitions,A repository to host several competitions that I have done.,2021-01-21T18:37:33Z,Jupyter Notebook,https://github.com/PrynsTag/Kaggle-Competitions
DataQuest-Data-Scientist-Python,Repository for the Learning Path Data Scientist in Python from DataQuest,2021-01-03T11:26:32Z,Jupyter Notebook,https://github.com/PrynsTag/DataQuest-Data-Scientist-Python
DataCamp-Machine-Learning-for-Everyone,This is a repository for the DataCamp course: Machine Learning for Everyone,2020-12-31T18:03:13Z,Jupyter Notebook,https://github.com/PrynsTag/DataCamp-Machine-Learning-for-Everyone
-SDS-Python-A-Z,Repository for all the homework exercises from Python A-Z of SuperDataScience,2020-12-02T00:34:34Z,Jupyter Notebook,https://github.com/PrynsTag/-SDS-Python-A-Z
Data-Analysis-with-Python-Zero-to-Pandas,A project-based webinar of learning Data Analysis with Python,2020-10-03T08:03:03Z,Jupyter Notebook,https://github.com/PrynsTag/Data-Analysis-with-Python-Zero-to-Pandas
Exploring-Ebay-Car-Sales-Data-in-Python,No Description,2020-08-22T09:30:21Z,Jupyter Notebook,https://github.com/PrynsTag/Exploring-Ebay-Car-Sales-Data-in-Python
Analyzing-Profitable-App-Profiles-in-Google-Play-and-Apple-Store,"Our goal for this project is to analyze applications from Apple Store and Google Play Store that are English, Free-to-use apps to help our developers understand what type of apps are likely to attr…",2020-07-27T01:37:22Z,Jupyter Notebook,https://github.com/PrynsTag/Analyzing-Profitable-App-Profiles-in-Google-Play-and-Apple-Store
Finding-Optimal-Post-Times-Analyzing-High-Volume-of-Comments-in-Specific-Time-of-the-Day,We are analyzing the data set coming from the submissions to popular technology site [Hacker News](https://news.ycombinator.com/). Hacker News is a site started by the startup incubator Y Combinato…,2020-07-23T05:37:32Z,Jupyter Notebook,https://github.com/PrynsTag/Finding-Optimal-Post-Times-Analyzing-High-Volume-of-Comments-in-Specific-Time-of-the-Day
Guessing-Game---JS,Codecademy Projects,2020-04-21T14:38:10Z,JavaScript,https://github.com/PrynsTag/Guessing-Game---JS
onemonth-monthly-resolution,No Description,2020-08-23T07:21:49Z,HTML,https://github.com/PrynsTag/onemonth-monthly-resolution
fylo-landing-page-with-two-column-layout,No Description,2020-04-18T08:18:55Z,HTML,https://github.com/PrynsTag/fylo-landing-page-with-two-column-layout
base-apparel-coming-soon,No Description,2020-04-08T08:02:37Z,HTML,https://github.com/PrynsTag/base-apparel-coming-soon
guide,No Description,2019-10-08T16:35:58Z,HTML,https://github.com/PrynsTag/guide
Meade,No Description,2020-08-22T10:19:29Z,CSS,https://github.com/PrynsTag/Meade
Huddle-Landing-Page-with-Single-Introductory-Section,No Description,2020-04-16T13:23:41Z,CSS,https://github.com/PrynsTag/Huddle-Landing-Page-with-Single-Introductory-Section
Huddle-landing-page,No Description,2020-04-07T10:17:09Z,CSS,https://github.com/PrynsTag/Huddle-landing-page
Four-Card-Feature-Section,HTML and CSS,2020-04-04T15:03:09Z,CSS,https://github.com/PrynsTag/Four-Card-Feature-Section
price-grid-component,No Description,2020-04-03T15:20:31Z,CSS,https://github.com/PrynsTag/price-grid-component
ALPHA-Website,No Description,2020-03-18T18:52:53Z,CSS,https://github.com/PrynsTag/ALPHA-Website
PrynsTag,No Description,2021-01-30T15:58:58Z,,https://github.com/PrynsTag/PrynsTag
